region_rus,year,basket,depr,gender,grp,invest,manuf,middle,mining,old,pat_inv,pat_mod,pop,RD_exp,stud,unem,vig
Белгородская область,2000,1959,41.34034761755587,1171,42074.5,9242,NA,57.8,NA,23.200000000000003,58,23,1504.3,110.1,45.7,6.1,164
Белгородская область,2001,2353.2,43.62940412768053,1176,49941.8,14030.6083,NA,58.5,NA,23.299999999999997,55,15,1507.5,121.479,56.2,6.4,152
Белгородская область,2002,2747.4,44.16134830719504,1180,62404.4,10829.770685736075,NA,59.6,NA,22.999999999999993,74,23,1510,155.014,52.4,8.1,133
Белгородская область,2003,3035.4,39.09895730867598,1179,76054.5,15336.318920723315,NA,60.5,NA,22.799999999999997,72,29,1512.9,155.76,59.4,8.3,115
Белгородская область,2004,3538.5,38.9,1177,114409.3,22684.500572375233,NA,61.1,NA,22.800000000000004,77,52,1512.8,183.22,64.4,6.2,109
Белгородская область,2005,4077.9,39.3,1177,144987.8,35022,101734,61.6,40390,22.800000000000004,77,45,1511.7,245,72.2,5.9,107
Белгородская область,2006,4545,39.18803717865106,1177,178846.1,52073.28612396306,136649,61.8,41102,22.900000000000006,93,31,1512.9,333.818,77.5,5.6,99
Белгородская область,2007,5234.3,35.41453650343402,1176,237013.3,83509.5114072878,191798,61.8,56923,23.10000000000001,75,50,1517.1,413.536,80.1,4.3,113
Белгородская область,2008,5954.3,32.001626055781855,1175,317656.3,104218,270781,61.7,62221,23.299999999999997,161,55,1523.2,759.402,82.9,3.9,118
Белгородская область,2009,6556.2,33.513518142263514,1174,304345.3,73127,241638,61.3,35375,23.60000000000001,122,53,1529,615.368,79.7,4.7,304
Белгородская область,2010,7286.7,36.6,1173,398361.4,96313,319536,60.8,73704,24.1,93,68,1532.1,891.7,77.7,5.2,309
Белгородская область,2011,7878.8,39.9,1172,507839.8,125994,369161,60.3,110158,24.5,104,89,1534.2,943.5,73.4,4.3,358
Белгородская область,2012,8494.5,41.9,1172,545517.2,136820,409330,59.6,94390,25,130,74,1538.5,1261.8,68.7,3.7,375
Белгородская область,2013,9514,43.3,1171,569006.4,129405,404467,58.8,96017,25.5,97,106,1542.5,1465.6479,64.8,4,363
Белгородская область,2014,10756,45.4,1171,619677.7,120658,470245,57.9,84223,26.1,116,89,1546,1790.5,59.2,4,385
Белгородская область,2015,11871.8,46.9,1171,693379.4,147214,562897,57,81211,26.6,167,90,1549,1921.1,53.1,4.1,553
Белгородская область,2016,12526.8,48.2,1169,778027.8,143791.756,603881,56.2,88930,27.2,115,86,1551.5,1779.9,50.6,4,517
Белгородская область,2017,12933.3,47.6,1168,837306.8,142692.754,NA,55.4,NA,27.7,155,85,1551.4,1921.1,49,3.9,489
Белгородская область,2018,13804.3,49.5,1166,911597.9,134551.337,NA,54.9,NA,28.2,162,105,1548.7,2147.8981,47.7,3.9,414
Белгородская область,2019,14111,52.5,1163,955951.6,167093.027,NA,55.9,NA,27.2,175,75,1548.3,2631.6398,46.8,3.9,425
Белгородская область,2020,14972.94,52.5,1162,NA,168122.744,NA,55.6,NA,27.5,139,71,1545.2,2941.4,46.2,4.9,408
Брянская область,2000,1938,47.29629178673377,1180,24650.5,2808,NA,56.9,NA,23.9,26,18,1415.6,51.4,27,13.4,59
Брянская область,2001,2297.3,50.209394723968835,1185,30110.3,3467.0550000000003,NA,57.6,NA,23.9,37,32,1399.7,96.443,30.7,9.8,47
Брянская область,2002,2764.4,52.46492302133724,1191,37374.1,4737.799822069062,NA,58.6,NA,23.6,20,27,1383.2,104.49,37.9,8.6,48
Брянская область,2003,3037.4,42.46328193273757,1190,43700.3,6527.522937198611,NA,59.6,NA,23.300000000000004,41,22,1367.6,151.463,41,7.4,58
Брянская область,2004,3482.9,42.8,1189,51003.4,6751.448524192978,NA,60.3,NA,23.200000000000003,52,20,1352.2,177.295,43,8.9,51
Брянская область,2005,4006.6,42.8,1191,66692.3,8496,36954,60.9,136,23.1,38,10,1335.9,249.7,45.9,6.8,52
Брянская область,2006,4417.3,40.622159061223215,1192,82100.4,12461.73906875525,46796,61.2,142,23.200000000000003,81,19,1320.2,299.204,51.7,6.8,56
Брянская область,2007,5186,43.943890996446285,1193,102706.2,21010.247249457556,59920,61.3,160,23.299999999999997,45,23,1308,196.085,52.2,6.4,51
Брянская область,2008,5952.3,40.809356603650464,1195,125834.4,25298,72687,61.2,158,23.5,49,31,1298.8,262.425,59.1,6.5,50
Брянская область,2009,6685.6,46.30989227407499,1195,126477.4,26858,57848,60.8,172,23.799999999999997,55,26,1290.4,257.063,61.1,10.7,61
Брянская область,2010,7542.6,46.7,1194,147024,41989,73863,60.3,248,24.3,27,47,1280.9,202.7,57.2,8,50
Брянская область,2011,7991.6,44.6,1193,174211.8,48014,91982,59.7,370,24.8,50,66,1269.9,273,51.8,7.1,59
Брянская область,2012,8678.3,46,1194,207397.5,46551,110055,58.9,409,25.3,42,53,1259.1,299.3,48.5,5.1,52
Брянская область,2013,9591.9,45.6,1193,219502.8,60864,117647,58.1,388,25.8,47,68,1248.1,352.1468,41.7,5.2,60
Брянская область,2014,11275.8,46.2,1192,242722.4,66066,126465,57.3,433,26.3,40,63,1237.8,408.9,39.5,5,74
Брянская область,2015,12483.7,46.3,1190,271782.5,62255,171551,56.4,425,26.9,56,60,1229.3,547.8,34.5,4.6,116
Брянская область,2016,13293.2,43.7,1188,316489.4,68194.604,175558,55.8,281,27.3,42,103,1223.1,704.3,30.7,4.6,77
Брянская область,2017,13807.5,45.5,1188,341177.8,55120.865,NA,55.1,NA,27.8,40,94,1215.8,977.7,27,4.4,78
Брянская область,2018,14504.4,48.8,1187,367157.1,58918.301,NA,54.5,NA,28.4,68,131,1205.6,1390.4406000000001,25.3,3.9,86
Брянская область,2019,14915,48.2,1186,397714.3,63553.036,NA,55.5,NA,27.5,57,100,1196.3,666.0708000000001,23.7,3.8,84
Брянская область,2020,15612.58,49.1,1185,NA,73886.786,NA,55.2,NA,27.8,42,61,1187.6,575.9,22.9,4,78
Владимирская область,2000,1788.1,43.69204863540938,1197,33017.7,4852,NA,58.8,NA,24,88,35,1566.8,382.5,28.7,12,419
Владимирская область,2001,2236.3,44.64088951217069,1203,42075.4,6224.2065,NA,59.2,NA,24.200000000000003,85,39,1548.6,487.014,32.1,10.2,415
Владимирская область,2002,2568.1,49.782789689310945,1210,50359.9,8849.880883527703,NA,59.9,NA,24.199999999999996,126,49,1529.7,684.001,42.6,10.4,409
Владимирская область,2003,3005.1,42.9045045045045,1216,61818.6,10326.749099684333,NA,60.7,NA,24,144,76,1514.8,1004.602,45.5,10.2,399
Владимирская область,2004,3558.8,40.7,1224,74207,12491.10477727018,NA,61,NA,24.200000000000003,137,57,1503.6,1330.122,47.4,9.1,357
Владимирская область,2005,4125.3,40.6,1230,86926.8,17327,81952,61.3,552,24.299999999999997,118,46,1492,1463.1,53.7,9,349
Владимирская область,2006,4685.7,40.67029904283977,1232,112841.7,22253.26200937366,99361,61.4,750,24.500000000000007,98,59,1481.2,1514.262,57.3,10.8,332
Владимирская область,2007,5683.1,39.832217494785866,1231,146663,37775.4007348925,144721,61.2,1149,24.799999999999997,99,81,1471.3,2163.293,57.3,6.7,331
Владимирская область,2008,6722.6,40.524691609128844,1229,175395.7,45056,160853,60.9,1672,25.000000000000007,114,71,1462.4,2965.163,57.3,5.7,322
Владимирская область,2009,7257.8,41.50475935990976,1225,185824.6,51546,142252,60.3,1303,25.5,135,94,1453.8,2858.048,57.6,8.7,315
Владимирская область,2010,8404.9,41.7,1220,224759.2,50088,189370,59.7,1517,25.9,109,83,1445.5,2478.9,53.6,6.1,286
Владимирская область,2011,8894.3,42.4,1219,261222.6,59769,222325,59,1632,26.4,151,65,1436.5,2792.9,49.4,5.7,401
Владимирская область,2012,9600.7,43.2,1217,286018.6,61013,244800,58.1,2143,26.9,120,74,1426.9,3486.7,45.3,4.4,380
Владимирская область,2013,10522.4,43.7,1215,306641.4,65354,270978,57.2,3643,27.4,209,100,1417.5,3647.8191,42.4,3.8,393
Владимирская область,2014,12096.7,43.8,1214,328064.2,73927,313682,56.4,4648,27.9,199,71,1409.5,3878.4,34.9,4.3,419
Владимирская область,2015,13286.1,45.6,1211,368489.2,71513,376168,55.4,3406,28.5,241,38,1401.4,3767.1,33.5,5.6,584
Владимирская область,2016,14056.9,47.7,1209,431549.8,70716.655,411594,54.7,3180,28.9,214,42,1393.4,4511.5,30.8,5.6,323
Владимирская область,2017,14555.1,48.4,1207,449849.2,78526.948,NA,54,NA,29.4,258,29,1384,5391.3,27.2,4.8,308
Владимирская область,2018,15331.3,49.4,1206,480027.8,73502.023,NA,53.5,NA,29.8,207,65,1372.1,5003.6867,27.6,4.7,298
Владимирская область,2019,15742.5,50.9,1202,537434.6,90060.479,NA,54.6,NA,28.8,197,37,1362.1,5496.638599999999,26.4,4,393
Владимирская область,2020,16586.4,54.7,1200,NA,93408.353,NA,54.4,NA,29,169,31,1350.3,5031.5,25.4,5.6,394
Воронежская область,2000,1986.6,49.022837524151065,1179,49523.9,8262,NA,56.8,NA,25.700000000000003,231,41,2431.9,890.5,76.6,10.1,623
Воронежская область,2001,2393.7,51.041572961511285,1183,60014.6,10408.673,NA,57.4,NA,25.800000000000004,227,80,2409.7,1211.072,87.6,9.6,625
Воронежская область,2002,2845.7,57.13102942332381,1186,83001.1,15963.809081733238,NA,58.4,NA,25.500000000000007,305,73,2385.8,1412.926,108.3,8.9,655
Воронежская область,2003,3135.7,41.24812030075188,1188,100143.3,19755.808671824037,NA,59.3,NA,25.299999999999997,469,136,2370.9,1573.99,110.5,8.3,687
Воронежская область,2004,3638.2,43.3,1190,117197.6,21845.46611180888,NA,59.9,NA,25.199999999999996,433,124,2366.2,1698.824,115.9,8.7,744
Воронежская область,2005,4317.5,47,1191,133586.6,28652,76779,60.4,988,25.1,449,70,2362.9,2140.4,125,7.6,902
Воронежская область,2006,4898.5,48.08653957564257,1191,166176.5,38867.040021367015,89883,60.7,1477,25.200000000000003,442,110,2357.4,2690.672,128.3,5.4,928
Воронежская область,2007,5793.7,46.82937312629837,1192,222811.9,65319.2860180461,109969,60.7,2024,25.39999999999999,422,112,2349.1,3223.183,134.1,5.2,1154
Воронежская область,2008,6617.6,45.55267931487112,1192,287072.1,94168,139869,60.7,2816,25.599999999999994,582,93,2341.7,3663.983,138.5,5.2,1089
Воронежская область,2009,7757.1,44.943576909418525,1191,301729.1,94788,132503,60.3,2865,25.900000000000006,547,94,2336.9,4961.356,138.5,8.6,1075
Воронежская область,2010,8711,45.4,1190,346568.2,125826,175892,60,2737,26.2,380,111,2334.9,5286.9,133.2,7.5,919
Воронежская область,2011,8978.8,44.5,1189,474973.9,155245,228302,59.6,3100,26.5,338,158,2333.2,5044.8,124.6,6.4,1390
Воронежская область,2012,9288.9,44.7,1187,563965.4,182334,250019,59,5618,26.9,501,166,2330.9,6421.8,117.2,5.5,954
